Year,Country,Latitude,Longitude,Happiness_Rank,Happiness_Score,Economy,Family,Health,Freedom,Trust,Generosity
2015,Afghanistan,33.93911,67.709953,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
2016,Afghanistan,33.93911,67.709953,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268
2017,Afghanistan,33.93911,67.709953,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933
2018,Afghanistan,33.93911,67.709953,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191
2019,Afghanistan,33.93911,67.709953,154,3.203,0.35,0.517,0.361,0,0.025,0.158
2015,Albania,41.153332,20.168331,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272
2016,Albania,41.153332,20.168331,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684
2017,Albania,41.153332,20.168331,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944
2018,Albania,41.153332,20.168331,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149
2019,Albania,41.153332,20.168331,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178
2015,Algeria,28.033886,1.659626,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822
2016,Algeria,28.033886,1.659626,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044
2017,Algeria,28.033886,1.659626,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647
2018,Algeria,28.033886,1.659626,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055
2019,Algeria,28.033886,1.659626,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073
2015,Angola,-11.202692,17.873887,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344
2016,Angola,-11.202692,17.873887,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071
2017,Angola,-11.202692,17.873887,140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.069720335,0.09792649
2018,Angola,-11.202692,17.873887,142,3.795,0.73,1.125,0.269,0,0.061,0.079
2015,Argentina,-11.202692,17.873887,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451
2016,Argentina,-38.416097,-63.616672,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989
2017,Argentina,-38.416097,-63.616672,24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061
2018,Argentina,-38.416097,-63.616672,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062
2019,Argentina,-38.416097,-63.616672,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066
2015,Armenia,40.069099,45.038189,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855
2016,Armenia,40.069099,45.038189,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793
2017,Armenia,40.069099,45.038189,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092
2018,Armenia,40.069099,45.038189,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077
2019,Armenia,40.069099,45.038189,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095
2015,Australia,-25.274398,133.775136,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562
2016,Australia,-25.274398,133.775136,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407
2017,Australia,-25.274398,133.775136,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925
2018,Australia,-25.274398,133.775136,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361
2019,Australia,-25.274398,133.775136,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332
2015,Austria,47.516231,14.550072,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088
2016,Austria,47.516231,14.550072,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865
2017,Austria,47.516231,14.550072,13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322
